10,-5.842,3.568,6.926,        10,0.01,-0.036,-0.046
20,-5.888,3.614,6.982,        20,0.006,-0.042,-0.046
30,-5.946,3.586,6.978,        30,0.006,-0.044,-0.042
40,-5.944,3.56,6.962,        40,0.006,-0.038,-0.034
50,-5.916,3.5,6.978,        50,0.002,-0.038,-0.028
60,-5.93,3.51,6.98,        60,-0.008,-0.04,-0.026
70,-5.846,3.51,6.972,        70,-0.008,-0.042,-0.022
80,-5.882,3.544,7.034,        80,0,-0.042,-0.016
90,-5.924,3.524,6.99,        90,0,-0.044,-0.012
100,-5.836,3.486,6.978,        100,-0.006,-0.042,-0.01
110,-5.794,3.442,6.976,        110,-0.02,-0.044,-0.012
120,-5.806,3.484,6.99,        120,-0.028,-0.05,-0.01
130,-5.828,3.478,7.058,        130,-0.028,-0.058,-0.008
140,-5.808,3.466,7.09,        140,-0.042,-0.066,-0.002
150,-5.778,3.46,7.054,        150,-0.05,-0.068,0.002
160,-5.852,3.472,7.074,        160,-0.038,-0.066,0.004
170,-5.818,3.546,7.108,        170,-0.02,-0.068,0.012
180,-5.794,3.584,7.064,        180,-0.012,-0.062,0.026
190,-5.85,3.552,7.07,        190,0,-0.062,0.038
200,-5.924,3.492,7.016,        200,0.008,-0.068,0.044
210,-5.908,3.526,7.096,        210,0.002,-0.076,0.042
220,-5.862,3.518,7.11,        220,-0.014,-0.09,0.046
230,-5.82,3.398,7.066,        230,-0.032,-0.112,0.056
240,-5.77,3.296,7.11,        240,-0.056,-0.122,0.08
250,-5.766,3.33,7.15,        250,-0.086,-0.132,0.094
260,-5.83,3.394,7.148,        260,-0.136,-0.164,0.088
270,-5.842,3.46,7.058,        270,-0.188,-0.198,0.08
280,-5.856,3.56,7.156,        280,-0.206,-0.216,0.086
290,-5.876,3.628,7.162,        290,-0.182,-0.234,0.088
300,-5.922,3.56,7.03,        300,-0.122,-0.252,0.074
310,-5.88,3.562,7.13,        310,0.184,-0.19,0.138
320,-5.868,3.678,7.07,        320,0.388,-0.084,0.23
330,-5.98,3.926,7.094,        330,0.216,-0.16,0.184
340,-6.108,3.876,7.288,        340,0.184,-0.224,0.234
350,-6.038,3.464,7.368,        350,0.294,-0.216,0.282
360,-5.984,3.258,7.352,        360,0.306,-0.246,0.25
370,-5.91,3.282,7.43,        370,0.3,-0.286,0.256
380,-5.632,2.856,7.04,        380,0.362,-0.308,0.286
390,-4.992,2.146,6.672,        390,0.42,-0.328,0.302
400,-6.348,5.126,7.368,        400,0.408,-0.338,0.302
410,-6.41,4.742,7.324,        410,0.02,-0.38,0.41
420,-5.756,3.494,7.182,        420,-0.396,-0.516,0.508
430,-5.746,4.192,7.36,        430,-0.012,-0.572,0.404
440,-5.814,4.398,7.412,        440,0.55,-0.442,0.292
450,-5.85,3.95,7.248,        450,0.696,-0.374,0.318
460,-5.846,3.838,7.222,        460,0.578,-0.366,0.334
470,-5.68,3.972,7.266,        470,0.544,-0.354,0.206
480,-5.424,4.416,7.798,        480,0.48,-0.292,0.078
490,-5.97,5.808,8.672,        490,0.282,-0.238,0.018
500,-6.64,2.288,7.348,        500,0.076,-0.23,0.052
510,-5.396,-0.282,7.202,        510,-0.016,-0.232,0.106
520,-4.666,1.634,8.072,        520,0.052,-0.18,0.184
530,-5.316,3.194,8.28,        530,0.114,-0.138,0.338
540,-5.75,3.524,7.488,        540,0.046,-0.154,0.362
550,-4.896,3.69,7.154,        550,0.074,-0.172,0.318
560,-4.76,4.26,7.226,        560,0.28,-0.152,0.412
570,-5.404,4.084,7.018,        570,0.332,-0.168,0.382
580,-5.76,4.068,6.778,        580,0.29,-0.254,0.33
590,-5.802,3.608,6.794,        590,0.268,-0.306,0.314
600,-5.908,3.508,6.922,        600,0.328,-0.288,0.37
610,-6.112,4.46,7.124,        610,0.434,-0.242,0.434
620,-5.916,4.756,7.218,        620,0.492,-0.234,0.452
630,-5.596,3.604,7.312,        630,0.418,-0.27,0.588
640,-6.16,3.346,7.88,        640,0.288,-0.344,0.758
650,-6.28,4.284,8.162,        650,0.208,-0.36,0.904
660,-5.692,4.192,7.896,        660,0.204,-0.292,1.178
670,-5.162,4.084,7.608,        670,0.272,-0.282,1.404
680,-5.242,3.876,7.392,        680,0.354,-0.32,1.446
690,-5.552,4.216,7.248,        690,0.422,-0.316,1.448
700,-5.28,4.698,7.152,        700,0.52,-0.208,1.592
710,-4.922,5.108,7.198,        710,0.478,-0.14,1.522
720,-4.124,5.382,7.202,        720,0.42,-0.086,1.262
730,-3.678,4.812,7.032,        730,0.398,0.066,1.17
740,-4.592,4.164,6.844,        740,0.248,0.09,1.13
750,-5.188,4.148,7.218,        750,0.05,0.054,1.102
760,-4.434,4.676,7.616,        760,-0.168,-0.042,1.118
770,-3.504,4.32,7.81,        770,-0.214,-0.154,1.136
780,-4.024,3.956,8.056,        780,-0.112,-0.12,1.224
790,-4.06,4.426,7.816,        790,-0.122,-0.14,1.298
800,-3.1,3.852,7.558,        800,-0.23,-0.15,1.378
810,-3.25,3.992,7.722,        810,-0.228,-0.156,1.44
820,-3.16,4.532,7.618,        820,-0.16,-0.204,1.412
830,-2.868,4.58,7.562,        830,-0.1,-0.276,1.416
840,-2.436,4.588,7.69,        840,-0.012,-0.266,1.502
850,-2.17,4.186,8.058,        850,0.098,-0.276,1.504
860,-2.74,4.788,8.506,        860,0.204,-0.194,1.466
870,-2.984,5.456,8.624,        870,0.18,-0.156,1.504
880,-3.002,5.502,8.32,        880,0.14,-0.186,1.504
890,-3.112,4.994,8.24,        890,0.148,-0.202,1.482
900,-2.654,4.87,7.976,        900,0.082,-0.286,1.48
910,-2.186,4.584,8.266,        910,-0.02,-0.336,1.504
920,-2.12,4.522,8.334,        920,-0.13,-0.36,1.51
930,-1.488,4.488,8.402,        930,-0.248,-0.396,1.49
940,-1.904,4.366,8.506,        940,-0.336,-0.464,1.446
950,-1.96,4.422,8.17,        950,-0.392,-0.48,1.424
960,-1.728,3.836,7.984,        960,-0.41,-0.512,1.406
970,-2.202,4.148,8.346,        970,-0.38,-0.52,1.376
980,-2.006,4.616,8.622,        980,-0.356,-0.514,1.33
990,-2.014,4.958,8.916,        990,-0.314,-0.532,1.268
1000,-2.068,5.258,9.134,        1000,-0.17,-0.512,1.228
1010,-2.174,5.35,8.84,        1010,-0.012,-0.498,1.166
1020,-1.85,4.91,8.68,        1020,0.112,-0.49,1.06
1030,-1.758,4.922,8.558,        1030,0.186,-0.46,0.92
1040,-1.756,4.792,8.526,        1040,0.166,-0.464,0.778
1050,-1.758,5.078,8.706,        1050,0.154,-0.458,0.65
1060,-1.848,5.13,8.582,        1060,0.126,-0.438,0.506
1070,-1.774,4.652,8.156,        1070,0.056,-0.458,0.372
1080,-2.146,4.546,7.862,        1080,-0.01,-0.484,0.284
1090,-2.236,4.686,7.746,        1090,-0.108,-0.468,0.236
1100,-2.044,4.91,7.854,        1100,-0.248,-0.434,0.256
1110,-1.884,5.812,8.29,        1110,-0.3,-0.444,0.316
1120,-1.574,6.166,8.274,        1120,-0.122,-0.464,0.334
1130,-1.194,6.208,8.248,        1130,0.21,-0.452,0.378
1140,-1.194,6.57,8.282,        1140,0.354,-0.5,0.436
1150,-1.276,6.768,8.006,        1150,0.34,-0.482,0.388
1160,-1.142,6.784,7.806,        1160,0.152,-0.438,0.274
1170,-1.18,7.08,7.794,        1170,-0.2,-0.54,0.206
1180,-1.438,6.992,7.646,        1180,-0.396,-0.652,0.19
1190,-1.38,6.262,7.042,        1190,-0.344,-0.662,0.132
1200,-0.836,5.462,6.504,        1200,-0.128,-0.562,0.062
1210,-0.816,5.578,6.97,        1210,0.122,-0.418,0.052
1220,-0.748,6.626,7.41,        1220,0.264,-0.272,0.06
1230,-0.77,7.058,7.556,        1230,0.392,-0.262,0.148
1240,-0.706,7.33,7.812,        1240,0.67,-0.304,0.298
1250,-0.116,6.948,7.332,        1250,1.074,-0.356,0.6
1260,0.07,5.472,6.476,        1260,1.538,-0.096,0.728
1270,0.016,4.332,5.882,        1270,1.71,0.072,0.506
1280,0.252,4.466,5.662,        1280,1.676,-0.052,0.35
1290,0.404,5.268,5.824,        1290,1.588,-0.158,0.214
1300,0.062,5.618,6.098,        1300,1.374,-0.074,-0.05
1310,-0.354,5.034,5.996,        1310,0.976,0.09,-0.15
1320,0.356,4.172,5.87,        1320,0.156,0.314,-0.306
1330,1.932,3.676,5.414,        1330,-1.154,0.516,-0.542
1340,1.284,5.702,5.99,        1340,-1.84,0.442,-0.358
1350,0.012,7.048,6.282,        1350,-1.898,0.242,-0.164
1360,-0.164,7.422,6.222,        1360,-1.61,0.076,-0.07
1370,1.02,8.552,6.408,        1370,-1.116,-0.152,-0.05
1380,2.308,9.106,6.656,        1380,-0.52,-0.204,0.052
1390,2.12,9.588,7.138,        1390,-0.004,-0.11,0.04
1400,1.748,12.444,8.056,        1400,0.34,0.05,-0.04
1410,1.622,12.902,7.642,        1410,0.578,0.122,-0.016
1420,-0.346,8.356,7.192,        1420,0.67,0.096,-0.144
1430,-1.434,6.006,7.296,        1430,0.696,0.09,-0.266
1440,-1.12,5.214,7.676,        1440,0.582,0.054,-0.34
1450,0.376,3.834,7.85,        1450,0.178,0.07,-0.256
1460,1.738,3.904,7.684,        1460,-0.152,0.078,-0.274
1470,2.25,4.946,7.712,        1470,-0.118,0.092,-0.356
1480,1.786,5.77,7.58,        1480,0.048,0.11,-0.358
1490,0.744,5.84,7.324,        1490,0.14,0.096,-0.382
1500,0.632,5.582,6.948,        1500,-0.008,0.104,0.034
1510,0.674,5.654,6.558,        1510,-0.276,-0.182,0.396
1520,1.218,6.46,7.078,        1520,-0.402,-0.55,0.25
1530,1.136,7.6,7.524,        1530,-0.296,-0.596,-0.06
1540,0.414,5.71,6.914,        1540,-0.088,-0.216,-0.124
1550,0.516,4.386,6.936,        1550,0.198,0.17,-0.16
1560,1.098,5.802,7.06,        1560,0.562,0.378,-0.246
1570,1.952,6.512,7.798,        1570,0.9,0.514,-0.32
1580,-0.386,6.532,7.77,        1580,1.28,0.616,-0.292
1590,-2.92,5.634,7.09,        1590,1.594,0.666,-0.17
1600,-0.496,5.546,6.912,        1600,1.744,0.702,-0.028
1610,3.86,5.414,7.326,        1610,1.714,0.662,0.012
1620,4.298,4.074,7.094,        1620,1.374,0.472,-0.008
1630,2.632,3.784,6.408,        1630,1.048,0.372,-0.068
1640,1.528,3.87,6.158,        1640,0.772,0.19,0.01
1650,1.35,3.748,5.926,        1650,0.814,0.224,-0.29
1660,1.118,4.098,5.924,        1660,0.814,0.188,-0.624
1670,0.814,5.098,6.464,        1670,0.686,0.24,-0.778
1680,0.148,6.348,7.066,        1680,0.29,0.226,-0.884
1690,0.016,7.386,7.804,        1690,-0.06,0.222,-0.892
1700,0.072,7.448,7.774,        1700,-0.086,0.54,-0.95
1710,0.172,7.34,7.658,        1710,0.108,0.486,-1.08
1720,-0.14,7.696,6.982,        1720,0.868,0.23,-1.3
1730,-0.434,7.172,6.4,        1730,1.524,0.366,-1.176
1740,1.16,7.714,6.766,        1740,1.6,0.59,-1.006
1750,1.472,7.988,7.242,        1750,1.298,0.594,-0.952
1760,1.356,9.184,7.318,        1760,0.966,0.524,-0.836
1770,1.238,7.03,7.106,        1770,0.714,0.534,-0.742
